order_id,product_id,quantity,unit_price
365,77,1,104.08
639,78,2,998.22
655,172,2,1510.05
960,171,1,622.1
622,159,3,411.54
362,1,3,1972.78
989,58,5,1131.99
587,128,1,1579.32
755,38,1,292.29
799,169,3,1265.5
5,65,5,43.01
951,65,3,1781.06
557,12,3,1853.59
777,190,3,1562.12
840,107,4,1160.29
443,32,4,1022.42
941,72,5,1871.35
401,66,1,1921.65
316,98,4,61.83
920,194,1,1229.75
234,17,3,1243.9
960,141,4,352.41
53,61,5,145.44
560,188,3,540.8
577,46,1,1725.22
794,56,5,1462.72
386,104,1,1537.7
934,137,3,49.95
712,67,2,1618.72
464,36,5,549.14
185,17,1,910.01
701,187,2,415.8
678,6,5,680.67
262,126,3,1114.09
785,15,2,561.72
415,88,5,1163.04
992,12,5,1735.04
351,197,1,1633.84
734,163,5,736.72
23,32,5,872.67
977,140,2,1297.61
843,78,3,691.54
528,36,2,787.77
749,151,2,229.68
769,181,1,1726.9
419,136,1,1369.07
313,6,3,1723.3
147,49,4,1277.22
138,196,5,808.95
91,36,2,638.06
300,181,4,350.76
660,60,3,1901.49
389,116,5,968.94
868,161,4,426.21
838,72,3,1916.55
758,63,2,1295.67
45,128,4,1877.52
81,181,4,1436.89
897,57,3,348.26
75,7,1,820.12
11,57,5,1685.05
982,75,3,82.76
386,73,5,1588.7
620,123,1,1193.36
880,193,2,834.98
334,47,5,403.76
749,161,5,1515.87
40,44,3,1446.08
665,72,2,1690.51
746,45,3,1518.66
945,101,5,942.09
844,192,1,635.19
321,135,5,878.16
620,14,3,339.59
964,180,4,1361.53
569,10,3,405.5
571,118,2,989.67
6,86,3,279.12
194,114,3,1790.99
463,47,2,1227.52
559,94,1,1478.49
398,184,5,1730.88
662,77,2,1286.48
362,95,5,427.56
639,147,5,890.37
580,70,1,989.03
104,149,2,506.67
724,143,1,1083.08
979,155,5,1150.55
653,85,1,1254.44
908,18,1,1522.85
899,40,5,38.22
843,72,2,1668.48
563,129,5,1800.87
162,107,3,167.81
526,172,1,1534.75
10,177,5,1917.24
585,85,2,1781.33
198,68,1,23.26
914,93,3,194.71
429,123,4,241.9
934,28,3,259.91
505,178,2,746.31
602,69,4,885.0
531,54,3,940.5
502,86,4,1121.63
822,106,5,761.17
178,188,2,1474.08
636,152,3,546.65
301,97,2,1926.07
714,79,2,421.01
514,176,4,92.65
485,70,5,660.44
561,144,1,151.99
887,197,2,1292.39
888,176,1,1934.73
142,170,3,197.14
558,72,3,1917.82
266,43,3,235.5
134,192,1,1202.37
696,93,5,516.87
180,137,2,1322.11
959,62,5,79.37
894,174,5,894.7
602,153,2,1444.08
351,47,3,1660.87
438,188,2,1290.18
957,108,3,1508.34
119,70,4,1467.55
396,29,2,63.03
462,113,2,1771.13
732,159,4,1094.55
343,9,2,805.23
997,157,1,623.26
772,200,4,1483.4
63,186,3,264.71
249,41,4,1997.92
984,25,1,1018.85
725,139,1,1753.82
796,2,2,640.15
249,129,2,59.69
311,160,4,550.49
717,107,5,632.02
196,195,1,40.8
526,82,4,893.77
560,163,2,149.02
291,115,4,98.37
773,2,1,1470.63
287,32,2,106.78
213,148,2,875.75
273,26,4,326.18
735,134,4,551.74
90,106,1,1697.83
800,1,5,364.41
618,71,3,1832.81
303,127,5,1389.71
887,54,2,1332.67
535,20,4,347.64
525,152,1,125.87
853,114,2,225.59
698,175,4,1001.32
816,151,3,388.05
466,25,3,1052.03
35,165,4,1197.93
686,197,1,848.09
508,167,4,335.58
553,176,4,1497.95
214,152,1,1833.93
867,77,1,1815.68
604,162,1,979.8
115,163,4,808.8
481,65,1,100.64
402,184,3,697.62
254,90,2,873.03
795,56,3,1753.43
772,198,1,807.61
726,140,3,1282.49
850,127,5,490.05
851,137,4,1910.0
712,77,4,1575.47
312,67,5,503.25
675,176,1,1671.84
530,57,4,1639.79
162,127,4,1710.02
855,36,4,1547.21
505,112,3,1337.77
857,63,5,1883.93
804,97,4,788.08
848,99,2,273.05
507,114,5,768.7
127,64,2,1159.59
430,37,2,1419.23
356,46,2,753.79
589,179,1,1735.0
442,117,5,214.98
920,195,1,374.83
631,64,2,188.74
545,74,4,459.69
383,111,5,1013.74
687,182,2,1191.82
584,126,3,1886.09
628,119,4,324.87
153,153,4,957.04
829,22,5,1892.55
128,192,4,480.64
153,168,1,318.46
494,39,2,1361.23
491,69,5,1726.52
235,149,2,1304.26
669,110,2,166.01
926,102,3,1882.33
997,92,5,687.3
713,114,5,51.21
793,126,2,1681.87
14,113,4,1669.98
93,139,4,988.1
285,2,5,1324.45
31,80,5,1474.92
222,180,1,1603.39
623,39,2,1365.87
309,155,5,211.81
914,28,5,1023.35
492,109,3,1043.07
330,59,3,861.05
537,131,1,614.84
124,21,3,1863.83
476,2,1,527.6
424,178,5,1571.35
446,3,2,1658.81
748,46,1,210.04
43,73,4,1533.59
814,109,2,663.17
288,90,1,525.05
490,188,2,292.21
891,195,5,1618.19
240,126,4,1908.27
575,118,4,1752.1
569,123,1,1180.65
15,93,3,1405.54
787,52,5,639.89
158,34,2,1117.59
38,148,5,57.29
952,16,3,607.63
96,11,4,233.28
