order_id,product_id,quantity,unit_price
79,109,4,1933.02
160,45,5,1284.02
780,48,2,1207.51
220,132,4,1081.76
114,83,5,263.92
638,65,4,1769.55
937,142,2,629.72
383,176,5,1815.58
321,142,4,737.22
476,41,1,1373.43
680,63,5,507.87
963,100,4,768.34
800,112,5,1944.57
823,64,3,1928.64
785,10,5,1698.07
12,174,5,869.9
48,43,2,1285.59
813,2,3,1863.29
186,11,1,463.91
626,131,1,1943.89
253,58,1,1669.87
225,153,3,692.01
871,125,1,1285.6
187,132,4,1804.6
744,129,5,126.85
802,125,5,266.1
511,86,1,1968.24
968,145,2,629.54
279,18,2,1289.67
311,89,5,240.23
946,1,5,41.2
264,180,4,574.25
168,72,2,792.3
342,119,4,1640.86
852,182,1,769.05
440,49,3,350.76
861,187,1,708.53
25,60,2,1652.77
493,67,2,140.8
783,111,2,217.45
970,155,3,1276.2
904,170,2,688.3
424,159,3,164.17
615,66,1,1483.75
67,109,5,1322.38
290,156,3,888.59
340,167,5,1823.61
286,18,1,143.26
988,167,5,1813.38
699,100,3,844.47
486,59,2,1516.52
566,4,3,1587.62
250,48,5,52.29
558,61,1,746.43
41,25,2,217.44
687,58,4,964.9
126,24,4,1290.66
159,28,3,1290.33
895,84,4,650.22
559,30,4,227.58
669,115,1,505.48
718,88,3,282.77
814,16,4,1921.19
280,148,2,1863.99
825,107,3,43.27
209,112,3,1273.97
947,9,4,410.63
971,160,1,1459.58
197,185,5,24.37
65,78,4,674.75
480,177,5,1088.61
681,150,1,292.35
339,89,5,1561.07
614,110,3,1162.27
345,154,2,1968.78
637,188,2,1376.06
858,192,5,1163.91
262,65,5,240.42
951,169,5,850.18
935,28,2,1249.54
35,95,4,1816.26
257,80,4,1589.21
743,155,4,689.48
706,111,1,271.61
80,80,2,712.69
898,122,5,297.14
440,1,4,1682.49
263,123,2,1486.81
928,92,4,1910.32
315,195,2,1756.57
283,96,2,878.15
663,83,2,513.41
462,27,2,1522.0
926,107,3,1078.64
418,118,4,1405.78
771,112,2,1334.29
857,12,3,407.12
117,25,4,238.22
187,149,4,197.72
951,165,2,1177.27
494,58,5,11.67
677,96,1,290.8
62,198,5,1535.08
863,17,3,1293.43
641,99,4,533.77
600,10,1,550.39
223,13,2,1294.32
141,184,1,1482.52
706,117,5,45.55
840,199,5,1299.87
844,152,2,1631.96
739,176,4,985.62
66,109,2,597.93
741,47,1,479.94
961,94,3,1002.12
303,85,1,1938.14
862,86,5,1666.02
140,82,2,1351.13
952,174,4,1934.13
944,143,4,201.81
723,30,3,1095.42
632,37,5,1818.72
689,65,1,1245.21
787,61,4,1865.16
820,28,2,1763.32
822,49,1,313.85
921,67,1,772.71
95,165,4,251.97
922,183,4,1382.29
243,109,5,954.17
813,174,3,131.14
625,50,1,991.01
476,37,2,402.28
502,88,2,53.07
630,96,5,73.0
992,164,3,41.62
777,98,3,938.61
837,194,2,1355.08
784,139,5,374.19
124,99,2,1078.04
313,165,5,1010.85
257,199,1,782.51
429,112,2,1254.74
757,97,4,1865.99
14,149,3,1128.4
749,8,1,1397.02
216,30,5,97.72
573,76,4,281.87
430,142,5,194.2
422,198,1,1115.62
980,99,3,976.6
601,115,4,46.9
53,30,2,878.93
64,143,5,1786.81
372,157,2,257.59
492,70,1,1045.81
524,180,2,744.21
260,196,5,982.68
381,180,2,162.13
923,91,1,374.46
574,162,2,1145.53
451,81,4,1105.48
913,119,1,66.02
560,108,1,319.27
981,46,1,1033.78
218,184,4,1412.63
214,186,4,1065.58
490,169,4,1913.6
558,118,1,324.63
362,77,2,328.46
351,133,1,1040.71
510,28,2,209.52
778,158,2,871.11
667,15,5,675.68
375,81,5,1611.33
825,51,2,1828.12
168,143,5,422.89
414,90,3,1143.57
367,179,3,1867.3
391,131,2,1168.63
280,169,5,1827.32
92,99,2,1411.96
508,182,4,1522.89
965,132,1,354.77
429,44,4,601.45
602,171,5,50.88
862,187,2,1409.68
137,190,1,1702.65
604,40,3,313.05
366,61,5,452.97
484,187,3,758.65
118,134,3,870.14
